P2P_Vel,Avg_Vel,Var_Vel,P2P_Ax,Var_Ax,P2P_Ay,Var_Ay,Var_LO,P2P_LO,Var_HA,P2P_HA,P2P_Pedal,Avg_Pedal,Var_Pedal,Var_Str,P2P_Str,Var_DStr,P2P_DStr,Avg_FrontDist,HandPress,Avg_HR,Class
0.021322245,0.532857554,0.000308092,0.018775457,0.000375288,0.033864142,0.001786683,0.112045334,0.463501107,0.00698285,0.079267884,0.03175,0.225336339,0.000819566,0.003002051,0.051577216,0.000136206,0.012787724,0.989408325,0.906300485,0.273865415,0
0.021748792,0.532742967,0.000337046,0.018740529,0.000369623,0.033864142,0.001830376,0.16196712,0.95747387,0.007084584,0.077180757,0.03175,0.224818356,0.000809104,0.003049227,0.051577216,0.000134252,0.012787724,0.992284345,0.907915994,0.273865415,0
0.02217197,0.532622108,0.000366556,0.018709263,0.00036368,0.033864142,0.001874378,0.206724175,0.95747387,0.007218304,0.075083105,0.03175,0.224300374,0.000797796,0.003094411,0.051577216,0.000134252,0.012787724,0.995814796,0.909531502,0.273865415,0
0.022591909,0.532495047,0.000396436,0.018679565,0.000357463,0.033864142,0.001917396,0.246623055,0.95747387,0.007378178,0.073064272,0.03175,0.223782391,0.000785645,0.003123201,0.051577216,0.000134252,0.012787724,1,0.911147011,0.273865415,0
0.023008692,0.532361846,0.00042649,0.018651402,0.000350977,0.033864142,0.001958647,0.281974768,0.95747387,0.007556687,0.07116755,0.03175,0.223264409,0.000772649,0.003132053,0.051577216,0.000140621,0.012787724,1,0.91276252,0.273865415,0
0.023422379,0.532222557,0.000456517,0.018624587,0.000344228,0.033864142,0.001997492,0.313092036,0.95747387,0.007745829,0.069401606,0.03175,0.222746427,0.000758809,0.003112221,0.051577216,0.000254833,0.023017903,1,0.914378029,0.273865415,0
0.02383183,0.532077236,0.000486302,0.01855924,0.00033722,0.033864142,0.002032396,0.340286573,0.95747387,0.007937391,0.067650138,0.03175,0.222228444,0.000744125,0.003096974,0.051577216,0.000254833,0.023017903,1,0.915993538,0.273865415,0
0.024235427,0.53192597,0.00051562,0.018516959,0.000330044,0.033864142,0.002064458,0.36386893,0.95747387,0.00812429,0.065556096,0.03175,0.221710462,0.000728596,0.003096423,0.051577216,0.000256871,0.023017903,1,0.917609047,0.273865415,0
0.024624136,0.53176894,0.000544201,0.01849167,0.000322673,0.033864142,0.002086187,0.384152525,0.95747387,0.008300802,0.062875513,0.03175,0.221192479,0.000712223,0.003100555,0.051577216,0.000261881,0.023017903,1,0.919224556,0.273865415,0
0.024988385,0.531606383,0.00057173,0.018465453,0.000315101,0.033864142,0.002094501,0.401457227,0.95747387,0.008452756,0.062875513,0.03175,0.220674497,0.000695005,0.003132156,0.051577216,0.000266722,0.023017903,1,0.919224556,0.273865415,0
0.025334637,0.531438485,0.000597918,0.018463086,0.000307332,0.033864142,0.002097835,0.416102048,0.95747387,0.008563558,0.062875513,0.03175,0.220156515,0.000676944,0.003167563,0.051577216,0.000266722,0.023017903,1,0.919224556,0.273865415,0
0.025667471,0.53126539,0.000622493,0.018463086,0.000299374,0.033864142,0.002097766,0.428395291,0.95747387,0.008625725,0.062875513,0.03175,0.219638532,0.000658038,0.003201767,0.051577216,0.000266722,0.023017903,1,0.919224556,0.273865415,0
0.025989159,0.531087223,0.000645191,0.018463086,0.000291236,0.033864142,0.002095756,0.438631219,0.95747387,0.008640882,0.062875513,0.03175,0.21912055,0.000638287,0.003239445,0.051577216,0.000266722,0.023017903,1,0.919224556,0.273865415,0
0.026301645,0.530904089,0.000665753,0.018463086,0.000282925,0.033864142,0.002093768,0.447086122,0.95747387,0.008616554,0.062875513,0.03175,0.218602568,0.000617692,0.003273251,0.051577216,0.000266722,0.023017903,1,0.919224556,0.273865415,0
