acc,bra,str,dstr,ddstr,ax,ay,V,LO,HA,SSW_LeftDown,SSW_LeftCenter,SSW_LeftTop,SSW_CenterTop,SSW_RightTop,SSW_RightCenter,SSW_RightDown,HeartRate,Label,time_in_SEC
0,0,0.314159265,0,-0.49322182,-0.229938752,0.276498427,133.0459679,0.845848868,-2.954840361,0,0,5,1,6,0,0,91,1,10.7
0,0.14285,0.314159265,0,-2.909606701,-0.364103812,0.290762273,131.5592784,0.795817917,-3.178773569,0,0,5,1,6,0,0,91,1,10.8
0,0,0.314159265,0,-4.926957435,-0.222733269,0.310709911,130.7054096,0.742942438,-3.442024195,0,0,5,1,6,0,0,91,1,10.9
0,0.1349,0.270176968,-1.727875959,-5.35798406,-0.348396299,0.313845249,129.2864977,0.685318748,-3.718170773,0,0,5,1,6,0,0,91,1,11
0,0,0.179856179,-1.413716694,-3.546420308,-0.212793502,0.306922214,128.4646985,0.62210954,-3.942212974,0,0,5,0,6,0,0,91,1,11.1
0,0,0.120951317,-1.099557429,0.072442488,-0.209109902,0.291946659,127.6710272,0.552913352,-4.034108476,0,0,5,0,6,0,0,91,1,11.2
0,0,0.039269908,-1.570796327,4.166400345,-0.2052537,0.259772458,126.9108994,0.478890584,-3.961835974,0,0,5,0,6,0,0,91,1,11.3
0.4325,0,0.013351769,0,7.075545678,0.018975963,0.227031547,127.0106627,0.401273526,-3.681997276,0,0,5,0,6,0,0,91,1,11.4
0.3571,0,0.006283185,-0.471238898,7.597684268,-0.019582333,0.18305144,126.9418904,0.322487926,-3.218087114,0,0,5,0,6,0,0,91,1,11.5
0.54295,0,-0.056548668,0.157079633,5.615075496,0.076535699,0.121893994,127.1775155,0.247089701,-2.610473334,0,0,5,0,6,0,0,91,1,11.6
0,0,0.103672558,3.612831552,2.208962981,-0.20379473,0.089954812,126.8005692,0.180136912,-1.906499038,0,0,5,0,6,0,0,91,1,11.7
0,0,0.255254403,1.099557429,-1.023019577,-0.202590455,0.084604001,126.089448,0.124095947,-1.273893777,0,0,5,0,6,0,0,91,1,11.8
0,0.3452,0.258395996,-0.157079633,-2.864021975,-0.531805028,0.064152545,124.2377615,0.080109275,-0.821484763,0,0,5,0,6,0,0,91,1,11.9
0,0,0.257610598,0,-3.101301614,-0.194257916,0.061544229,123.5478428,0.049089627,-0.547111513,0,0,5,0,6,0,0,91,1,12
0.5078,0,0.257610598,0,-2.494547229,0.068672669,0.07345329,123.5681151,0.030379734,-0.428066268,0,0,5,0,6,0,0,91,1,12.1
0.5078,0,0.256039801,0,-2.051926363,0.067870432,0.090447377,123.7867373,0.022572706,-0.436147393,0,0,5,0,6,0,0,91,1,12.2
0.65235,0,0.257610598,0,-2.18274648,0.141071916,0.113092289,124.2632295,0.023760348,-0.534322502,0,0,5,0,6,0,0,90,1,12.3
0.3333,0,0.257610598,0,-2.342268009,-0.024494317,0.132533834,124.2904511,0.031789382,-0.687610022,0,0,5,0,6,0,0,90,1,12.4
